emp_no,first_name,last_name,gender,salary,to_date
10001,Georgi,Facello,M,60117,9999-01-01
10194,Josyula,Hofmeyr,F,64941,9999-01-01
10196,Marc,Hellwagner,M,86671,9999-01-01
10198,Pranav,Furedi,M,44076,9999-01-01
10203,Steen,Escriba,M,40000,9999-01-01
10205,Mabhin,Leijenhorst,F,40000,9999-01-01
10207,Girolamo,Anandan,F,52783,9999-01-01
10215,Xiaobin,Duclos,M,43944,9999-01-01
10219,Genta,Kolvik,M,40000,9999-01-01
10224,Leon,Trogemann,M,40000,9999-01-01
10228,Karoline,Cesareni,F,79474,9999-01-01
10230,Clyde,Vernadat,M,47531,9999-01-01
10233,Lein,Vendrig,F,40000,9999-01-01
10239,Nikolaos,Llado,F,65146,9999-01-01
10240,Remko,Maccarone,M,73874,9999-01-01
10248,Frederique,Tempesti,F,58918,9999-01-01
10249,Marie,Boreale,M,72192,9999-01-01
10258,Basil,Ishibashi,F,66280,9999-01-01
10262,Mahendra,Maraist,F,63005,9999-01-01
10272,Yishai,Cannane,M,58070,9999-01-01
10281,Moty,Kusakari,M,46123,9999-01-01
10282,Hercules,Benzmuller,M,40000,9999-01-01
10283,Kauko,Birjandi,M,40000,9999-01-01
10284,Masali,Murrill,F,40000,9999-01-01
10295,Kristine,Velardi,M,46398,9999-01-01
10298,Dietrich,DuCasse,F,40000,9999-01-01
10306,Heng,Kilgour,M,44229,9999-01-01
10307,Nikolaos,Leaver,M,40000,9999-01-01
10322,Isamu,Dahlbom,F,41968,9999-01-01
10325,Arunachalam,Badr,M,44325,9999-01-01
10326,Masali,Czap,F,40000,9999-01-01
10328,Serenella,Kawashima,M,46286,9999-01-01
10333,Snehasis,Dymetman,M,45141,9999-01-01
10340,Djelloul,Laventhal,M,68132,9999-01-01
10343,Dinah,Syrzycki,M,40000,9999-01-01
10347,Pradeep,Kaminger,M,42199,9999-01-01
10349,Oksana,Brodie,F,47518,9999-01-01
10353,Phule,Hammerschmidt,M,62656,9999-01-01
10355,Satyanarayana,Cochrane,M,70434,9999-01-01
10356,Vasilis,Standera,M,45376,9999-01-01
10358,Qunsheng,Tagansky,M,63243,9999-01-01
10364,Nakhoon,Dengi,M,51401,9999-01-01
10367,Hyuckchul,Gini,M,63565,9999-01-01
10372,Anneli,Frijda,F,54505,9999-01-01
10377,Marl,Grospietsch,M,40000,9999-01-01
10387,Parto,Wrigley,F,61374,9999-01-01
10388,Hironoby,Kaiser,M,62545,9999-01-01
10389,Make,Peir,M,55548,9999-01-01
10396,Sibyl,Rahier,M,40393,9999-01-01
10397,Irena,Reutenauer,M,40529,9999-01-01
10402,Volkmar,Ebeling,M,40000,9999-01-01
10404,Prodip,Rosti,F,51647,9999-01-01
10407,Ulf,Siepmann,M,62565,9999-01-01
10413,Danel,Impagliazzo,F,45416,9999-01-01
10418,Candida,Porotnikoff,F,52224,9999-01-01
10422,Greger,Rubsam,F,45725,9999-01-01
10426,Arunas,Luce,F,65757,9999-01-01
10429,Martien,Improta,F,40000,9999-01-01
10432,Hisao,Tiemann,F,40000,9999-01-01
10433,Reuven,Dengi,M,40000,9999-01-01
10451,Bodh,Ranta,F,46275,9999-01-01
10004,Chirstian,Koblick,M,40054,9999-01-01
10453,Tsvetan,Matzel,F,40000,9999-01-01
10463,Ung,Zaiane,M,66480,9999-01-01
10005,Kyoichi,Maliniak,M,78228,9999-01-01
10006,Anneke,Preusig,F,40000,9999-01-01
10009,Sumant,Peac,F,60929,9999-01-01
10477,Guoxiang,Trogemann,F,55138,9999-01-01
10018,Kazuhide,Peha,F,55881,9999-01-01
10486,Amstein,Kossowski,F,71692,9999-01-01
10494,Yakkov,Servieres,F,50094,9999-01-01
10497,Pramod,Rabehasaina,M,63707,9999-01-01
10499,Maik,Luft,F,40000,9999-01-01
10019,Lillian,Haddadi,M,44276,9999-01-01
10020,Mayuko,Warwick,M,40000,9999-01-01
10503,Dannz,Pell,M,40000,9999-01-01
10022,Shahaf,Famili,M,40000,9999-01-01
10504,Xiong,Varker,M,43931,9999-01-01
10023,Bojan,Montemayor,F,47883,9999-01-01
10026,Yongqiao,Berztiss,M,47585,9999-01-01
10509,Abdelwaheb,Riesenhuber,F,49292,9999-01-01
10035,Alain,Chappelet,M,41538,9999-01-01
10512,Udi,Gihr,M,40000,9999-01-01
10517,Tiina,Speek,M,65330,9999-01-01
10522,Marke,Cesareni,F,40000,9999-01-01
10047,Zvonko,Nyanchama,M,54982,9999-01-01
10529,Ymte,Yetto,M,47840,9999-01-01
10531,Oguz,Gimbel,F,49168,9999-01-01
10051,Hidefumi,Caine,M,48817,9999-01-01
10542,Yannis,Couchot,F,40000,9999-01-01
10053,Sanjiv,Zschoche,F,67854,9999-01-01
10057,Ebbe,Callaway,F,49616,9999-01-01
10548,Ramalingam,Gunderson,M,90631,9999-01-01
10552,Kazuhito,Shiratori,M,80483,9999-01-01
10058,Berhard,McFarlin,M,52787,9999-01-01
10059,Alejandro,McAlpine,F,71218,9999-01-01
10063,Gino,Leonhardt,F,40000,9999-01-01
10066,Kwee,Schusler,M,69736,9999-01-01
10067,Claudi,Stavenow,M,44642,9999-01-01
10070,Reuven,Garigliano,M,55999,9999-01-01
10564,Jianhao,Thisen,M,46660,9999-01-01
10072,Hironoby,Sidou,F,40000,9999-01-01
10568,Gao,Poulakidas,F,64356,9999-01-01
10074,Mokhtar,Bernatsky,F,61714,9999-01-01
10076,Erez,Ritzmann,F,47319,9999-01-01
10088,Jungsoon,Syrzycki,F,65957,9999-01-01
10586,Kirk,Vuskovic,M,47541,9999-01-01
10091,Amabile,Gomatam,M,40000,9999-01-01
10593,Falguni,Kenevan,M,71435,9999-01-01
10096,Jayson,Mandell,M,61395,9999-01-01
10596,Sanjit,Coors,M,58689,9999-01-01
10603,Wayne,Restivo,M,101271,9999-01-01
10097,Remzi,Waschkowski,M,44886,9999-01-01
10610,Irena,Roccetti,F,49812,9999-01-01
10100,Hironobu,Haraldson,F,54398,9999-01-01
10614,Gila,Ozeri,F,40000,9999-01-01
10615,Keung,Delgrande,M,43533,9999-01-01
10103,Akemi,Birch,M,68158,9999-01-01
10106,Eben,Aingworth,M,62928,9999-01-01
10623,Aleksander,Danlos,F,60268,9999-01-01
10624,Sham,Gyorkos,F,40000,9999-01-01
10628,Krisda,Krogh,M,41650,9999-01-01
10630,Bezalel,Katzenelson,F,40000,9999-01-01
10631,Inderjeet,Chaudhuri,M,40000,9999-01-01
10126,Kayoko,Valtorta,M,40000,9999-01-01
10634,Nahid,Chepyzhov,M,45179,9999-01-01
10636,Saeko,Porotnikoff,F,40904,9999-01-01
10639,Pramod,Erol,M,46291,9999-01-01
10641,Guozhong,Zucker,M,41785,9999-01-01
10642,Hirochika,Narlikar,M,40000,9999-01-01
10653,Otmar,Feinberg,M,40000,9999-01-01
10127,Subir,Baja,F,40000,9999-01-01
10129,Armond,Peir,M,40000,9999-01-01
10130,Nishit,Casperson,M,40000,9999-01-01
10667,Makato,Cusworth,F,40000,9999-01-01
10671,Parviz,Rebaine,M,74037,9999-01-01
10676,Valeri,Danley,F,58226,9999-01-01
10683,Guiseppe,Stranks,F,40000,9999-01-01
10693,Berhard,Daescu,F,40000,9999-01-01
10696,Unal,Fendler,M,68913,9999-01-01
10702,Bader,Szemeredi,M,46581,9999-01-01
10712,Uma,Koprowski,F,40000,9999-01-01
10718,Adib,Rullman,M,75473,9999-01-01
10726,Zita,Minakawa,F,46315,9999-01-01
10734,Sachar,Erdi,M,47377,9999-01-01
10741,Sven,Huttel,F,50265,9999-01-01
10742,Shim,Wiegley,M,67405,9999-01-01
10745,Poorav,Ranze,F,40000,9999-01-01
10749,King,Brendel,M,60829,9999-01-01
10750,Roddy,Demeyer,F,40000,9999-01-01
10764,Yunming,Beetstra,F,70720,9999-01-01
10767,Monique,Doering,F,40651,9999-01-01
10768,Ishfaq,Candan,M,65717,9999-01-01
10778,Selwyn,Merey,M,64996,9999-01-01
10791,Tadahiko,Sgarro,M,40000,9999-01-01
10795,Supot,Naudin,M,84206,9999-01-01
10134,Diederik,Siprelle,M,40000,9999-01-01
10138,Perry,Shimshoni,M,53574,9999-01-01
10150,Zhenbing,Perng,F,70122,9999-01-01
10808,Chenxi,Leijenhorst,M,40000,9999-01-01
10811,Ashish,Fortenbacher,M,40000,9999-01-01
10813,Shalesh,Shumilov,M,53246,9999-01-01
10814,Nidapan,Dymetman,F,59378,9999-01-01
10826,Arnd,Anandan,M,59506,9999-01-01
10827,Willard,Danley,M,58322,9999-01-01
10830,Fen,Fiebach,M,47420,9999-01-01
10831,Toong,Driscoll,M,82330,9999-01-01
10833,Krisda,Gecseg,F,40000,9999-01-01
10834,Huiqun,Rajcani,M,53869,9999-01-01
10835,Tomoyuki,Kermarrec,M,40000,9999-01-01
10836,Jianhua,Leivant,F,65502,9999-01-01
10153,Heekeun,Majewski,M,54246,9999-01-01
10844,Dipayan,Koprowski,M,40000,9999-01-01
10846,Tokuyasu,Serre,M,40000,9999-01-01
10157,Nigel,Aloisi,M,48770,9999-01-01
10847,Theirry,Danley,M,40000,9999-01-01
10848,Fen,Bratsberg,F,50475,9999-01-01
10849,Makato,Mayerwieser,M,66065,9999-01-01
10159,Serif,Buescher,M,52881,9999-01-01
10854,Jagoda,Nannarelli,M,40000,9999-01-01
10160,Debatosh,Khasidashvili,M,91622,9999-01-01
10163,Karsten,Szmurlo,M,41603,9999-01-01
10858,Kenroku,Gonthier,M,47847,9999-01-01
10166,Samphel,Siegrist,F,51586,9999-01-01
10183,Mechthild,Bonifati,M,40000,9999-01-01
10871,Aram,Gilg,M,40000,9999-01-01
10872,Karoline,Speel,F,40000,9999-01-01
10873,Sukumar,Wegerle,M,65835,9999-01-01
10878,Lakshmi,Deville,M,72102,9999-01-01
10879,Muzhong,Chleq,F,65651,9999-01-01
10882,Fun,Heuser,M,40000,9999-01-01
10883,Shimshon,Champarnaud,M,40000,9999-01-01
10885,Rayond,Cronau,M,78613,9999-01-01
10887,Lunjin,DeMori,M,69570,9999-01-01
10926,Leni,Eppinger,F,43219,9999-01-01
10900,Ferdinand,Prenel,F,50054,9999-01-01
10906,Munehiro,Carrere,F,66204,9999-01-01
10927,Gal,Scallan,M,51819,9999-01-01
10909,Georgi,Atchley,M,80935,9999-01-01
10930,Arch,Minakawa,M,53785,9999-01-01
10913,Narain,Thummel,M,62428,9999-01-01
10932,Avishai,Picci,F,40000,9999-01-01
10936,Mountaz,Schicker,F,40000,9999-01-01
10920,Ronghao,Narahara,M,40000,9999-01-01
10921,Mara,Bahi,F,72601,9999-01-01
10924,Hironoby,Atchley,F,84783,9999-01-01
10942,Toshimitsu,Larfeldt,F,40000,9999-01-01
10943,Berna,Skafidas,M,45890,9999-01-01
10944,Remko,Zyda,M,42872,9999-01-01
10947,Gor,Usery,F,43068,9999-01-01
11111,Udi,Zastre,F,49777,9999-01-01
11112,Boaz,Mukaidono,M,40000,9999-01-01
11113,Shahab,Peng,F,66401,9999-01-01
11121,Vugranam,Kakkad,F,40000,9999-01-01
10949,Shigeichiro,Wroclawski,F,58253,9999-01-01
10956,Arno,Picel,M,40000,9999-01-01
11130,Xinyu,Menhoudj,M,43172,9999-01-01
11132,Kristin,Harnett,M,40000,9999-01-01
11133,Nalini,Azulay,M,40000,9999-01-01
11134,Sachar,Rajcani,F,58731,9999-01-01
11137,Hugh,Luca,M,40000,9999-01-01
11139,Bogdan,Homond,F,63596,9999-01-01
11143,Yongdong,Rosen,M,63264,9999-01-01
10965,Eckart,Braunschweig,M,61654,9999-01-01
11144,Carrsten,Heinisuo,M,56144,9999-01-01
11146,Ishfaq,Masand,F,96019,9999-01-01
11147,Ayonca,Nitsch,M,40000,9999-01-01
11148,Zhanqiu,Botman,F,56344,9999-01-01
11158,Masaki,Hagimont,M,40000,9999-01-01
10969,Premal,Noriega,M,40000,9999-01-01
11162,Kauko,Narlikar,F,69873,9999-01-01
11168,Shmuel,Tetzlaff,F,72944,9999-01-01
11170,Minghong,Cannard,M,44531,9999-01-01
10974,Muneo,Papsdorf,M,56005,9999-01-01
11174,Akhilish,Milicia,M,45806,9999-01-01
11177,Chrisa,dAstous,M,40000,9999-01-01
10986,Masako,Schiper,M,43900,9999-01-01
11180,Mitsuyuki,Bojadziev,F,40000,9999-01-01
11181,Hausi,Cullers,M,40000,9999-01-01
10987,Flemming,Baezner,M,46108,9999-01-01
11185,Aloys,Baezner,M,40000,9999-01-01
11186,Kshitij,Stasinski,M,40000,9999-01-01
10988,Chinya,Deyuan,M,54174,9999-01-01
11189,Dante,Bodoff,F,71798,9999-01-01
11192,Apostol,Bahr,M,40000,9999-01-01
10989,Sumali,Candan,F,46406,9999-01-01
10990,Shin,Foote,M,40000,9999-01-01
10996,Matk,Rahimi,F,43564,9999-01-01
11197,Tadahiro,Fordan,M,88741,9999-01-01
11004,JoAnna,Decleir,F,40226,9999-01-01
11201,Jouko,Masaki,M,49454,9999-01-01
11009,Alper,Axelband,F,75111,9999-01-01
11204,Diederik,Covnot,M,40000,9999-01-01
11207,Saeed,Gips,F,49728,9999-01-01
11012,Taegyun,Speckmann,F,72092,9999-01-01
11208,Saniya,Valtorta,F,83660,9999-01-01
11019,Leon,Huttel,M,69387,9999-01-01
11211,Yurij,Rissland,M,72668,9999-01-01
11213,Vugranam,Munoz,F,40000,9999-01-01
11217,Kellie,Mawatari,M,40000,9999-01-01
11021,Srinidhi,Henders,F,62670,9999-01-01
11027,Remzi,Cappello,M,40000,9999-01-01
11229,Gretta,Ramamoorthy,M,48214,9999-01-01
11031,Ottavia,Walstra,M,71654,9999-01-01
11232,Hidefumi,Crelier,M,43863,9999-01-01
11233,Sanjit,Waschkowski,F,46070,9999-01-01
11032,Erez,Schaaf,M,40000,9999-01-01
11240,Kiam,Condotta,M,61739,9999-01-01
11037,Lansing,Maliniak,M,40000,9999-01-01
11243,Udi,Desikan,F,47598,9999-01-01
11249,Randi,Cyre,M,43324,9999-01-01
11251,Bezalel,Chinal,M,69432,9999-01-01
11253,Koldo,Pokrovskii,M,40000,9999-01-01
11254,Danel,Rindone,F,50562,9999-01-01
